gene	log2FC	score	pvalue	pvalue_adj
LGALS9	2.8632648	32.096985	4.8574552838894796e-226	4.94417112293638e-224
TAGAP	2.8113973	32.021378	5.4968229696786e-225	5.536469044756074e-223
SPI1	2.8123333	31.837448	1.9638677327538036e-222	1.957569812093593e-220
RPL9	1.6249156	31.802795	5.92209846535961e-222	5.882821317462208e-220
OTUD1	2.818662	31.67562	3.3668714124939473e-220	3.299191590541103e-218
BCL2A1	3.4023702	31.626755	1.583293177360062e-219	1.5358475126827959e-217
HCST	2.813494	31.596027	4.1864125156488346e-219	4.04737881571441e-217
RASGEF1B	2.774448	31.583641	6.193426143018273e-219	5.967778983874307e-217
OLR1	2.7907736	31.461416	2.930128869738677e-217	2.8046766634945674e-215
HLA-DQA1	2.7899923	31.418499	1.1310616533724704e-216	1.0755131320407238e-214
PFDN5	2.3851314	31.408062	1.5704057196453482e-216	1.4883842012389536e-214
PABPC1	2.4624596	31.374022	4.5766736344582034e-216	4.3234609395844216e-214
RPL10A	2.1856508	31.331406	1.7435168883710468e-215	1.641688687040451e-213
LGMN	2.6589053	31.24138	2.9233301255401456e-214	2.734780062750453e-212
B4GALT1	2.758506	31.217352	6.196098008688454e-214	5.777761456037327e-212
FAU	1.4879817	31.210749	7.615829678447229e-214	7.078803489224246e-212
LIMS1	2.6474845	31.183836	1.7648774848575238e-213	1.6351703030377066e-211
IL18	2.7413175	31.10195	2.2666384832583738e-212	2.0800545598587244e-210
PLEK	2.7514896	30.9498	2.5563460137971927e-210	2.33111338236074e-208
IGSF6	2.759071	30.909422	8.924494342436998e-210	8.087158556640323e-208
PELI1	2.5732577	30.857761	4.407525110589349e-209	3.981510261618947e-207
RPS6	1.4273243	30.857061	4.5040581781146784e-209	4.056037687064206e-207
TSC22D3	2.6439178	30.710579	4.11161847970957e-207	3.6683504750914983e-205
RPS9	1.4737064	30.628893	5.049053347502576e-206	4.4770854330140176e-204
RAB20	3.390224	30.585585	1.9032225903006804e-205	1.682460410330941e-203
SERPINE1	2.992422	30.5184	1.4855225415703572e-204	1.305227966844204e-202
EEF1G	2.3774056	30.422337	2.782771119346761e-203	2.430258753684496e-201
PNRC1	1.9708092	30.380728	9.872958909829561e-203	8.596313952001299e-201
FOLR2	2.965012	30.280092	2.0964623077811407e-201	1.8090279382396846e-199
RPS28	1.6912508	30.268179	3.008132991201926e-201	2.5879791778772046e-199
RPL22	2.2114134	30.076284	9.898400695659442e-199	8.440503507652728e-197
RNASEK	2.4301207	30.019688	5.431839661282832e-198	4.618182032020671e-196
ARRB2	2.6770294	29.937847	6.333597585344946e-197	5.369070539576726e-195
LCP2	2.6602263	29.916142	1.2136430707095388e-196	1.0258122878655158e-194
RGS2	2.698195	29.796137	4.383677210909643e-195	3.6730132503120305e-193
FYB1	2.7287254	29.756302	1.4373624441525333e-194	1.2008623171421178e-192
EEF1B2	2.2785296	29.612854	1.0208277533103485e-192	8.504054139752809e-191
LILRB4	2.635796	29.60285	1.3732679945690412e-192	1.1407200551438872e-190
RPS25	1.4662668	29.377743	1.0570753092223262e-189	8.730535989625652e-188
LAPTM5	3.0524688	29.308823	8.006261725278649e-189	6.574914991267895e-187
ZFP36L2	2.3389556	29.264168	2.965122971843722e-188	2.414445344988351e-186
A2M	2.8007407	29.241112	5.824974555675847e-188	4.716597744563633e-186
MYL12A	2.5145745	29.167786	4.97047007298554e-187	4.002266807793677e-185
ICAM1	3.3074183	29.109015	2.760668153103589e-186	2.216739841715707e-184
MTRNR2L12	3.921445	29.07578	7.267552537109973e-186	5.803401690338066e-184
ANXA5	2.373033	29.023893	3.286978121757865e-185	2.6031966182371126e-183
C3AR1	2.5876887	28.899876	1.1982011840227319e-183	9.412065659387258e-182
RPL35A	1.8796598	28.750156	9.016990913449099e-182	6.969362468852222e-180
AKAP13	2.5537724	28.596905	7.34121970110441e-180	5.659003677328671e-178
PYCARD	2.57615	28.557451	2.270041829348489e-179	1.7405861846412934e-177
APBB1IP	2.703109	28.548794	2.907467414673671e-179	2.223443400951635e-177
ITGB2	2.6942723	28.493164	1.4237358801323887e-178	1.085908524722611e-176
GMFG	2.5825698	28.281237	5.880015405155462e-176	4.437953141431565e-174
CLEC2B	3.6682692	28.261337	1.0327962236167743e-175	7.774750113565128e-174
PDK4	2.0197904	28.235298	2.1570704469147698e-175	1.619595724908188e-173
