gene	log2FC	score	pvalue	pvalue_adj
MARCKS	2.3468304	53.48727	0.0	0.0
ARHGDIA	2.2742314	53.455906	0.0	0.0
NDUFB9	2.2693682	53.445312	0.0	0.0
RPS27A	1.9018878	53.425587	0.0	0.0
CUTA	2.253864	53.365902	0.0	0.0
RHEB	2.2415662	53.359688	0.0	0.0
AP2M1	2.2473328	53.321335	0.0	0.0
NDUFA12	2.3184206	53.30909	0.0	0.0
UQCRC1	2.2586453	53.255802	0.0	0.0
EIF5A	2.224756	53.240692	0.0	0.0
RPS25	1.9953727	53.219437	0.0	0.0
OSTC	2.331674	53.104164	0.0	0.0
MRPL51	2.2545156	53.08211	0.0	0.0
LSP1	2.4793599	53.0511	0.0	0.0
NUCB1	2.2253397	52.984398	0.0	0.0
RAB5C	2.2339199	52.920822	0.0	0.0
UBE2L6	2.3915024	52.91695	0.0	0.0
SNRPC	2.2931175	52.86656	0.0	0.0
NDUFA1	2.235517	52.848892	0.0	0.0
CTSA	2.258291	52.81179	0.0	0.0
HSPB1	2.414656	52.799538	0.0	0.0
ZNF428	2.369519	52.732933	0.0	0.0
PPP2R1A	2.2068045	52.54487	0.0	0.0
HMGA1	2.4376602	52.529064	0.0	0.0
TMEM14C	2.2206082	52.501213	0.0	0.0
NME4	2.6626508	52.453613	0.0	0.0
NDUFB10	2.2188153	52.452435	0.0	0.0
TMA7	2.3479965	52.446682	0.0	0.0
AL133415.1	3.5529404	52.435932	0.0	0.0
COMT	2.2416906	52.434204	0.0	0.0
LY6E	2.9045115	52.43208	0.0	0.0
CD14	2.021492	52.41296	0.0	0.0
GRINA	2.2295673	52.345543	0.0	0.0
FOSL2	3.2569485	52.289715	0.0	0.0
HM13	2.206272	52.15805	0.0	0.0
DNPH1	2.5613675	52.134796	0.0	0.0
TSPO	2.1783118	52.112328	0.0	0.0
ATP5F1A	2.1984713	52.10442	0.0	0.0
ATP5PB	2.2083538	52.056335	0.0	0.0
EIF4EBP1	2.56418	52.0474	0.0	0.0
EIF3F	2.280865	52.0413	0.0	0.0
LGALS3BP	2.378547	52.033184	0.0	0.0
IQGAP1	2.1931334	51.897484	0.0	0.0
