gene	log2FC	score	pvalue	pvalue_adj
MYDGF	3.4612162	43.783745	0.0	0.0
SRSF9	3.423078	43.696594	0.0	0.0
ARF5	3.406223	43.623787	0.0	0.0
SNRPD2	3.4325325	43.622585	0.0	0.0
ARHGDIB	3.5826964	43.46998	0.0	0.0
ATP5PD	3.4189365	43.427006	0.0	0.0
GPR183	3.587416	43.421276	0.0	0.0
COX8A	3.4876947	43.36669	0.0	0.0
RPS27L	3.4054093	43.28622	0.0	0.0
VSIG4	3.5814223	43.233932	0.0	0.0
KRTCAP2	3.4878614	43.188396	0.0	0.0
ICAM1	4.207399	43.15467	0.0	0.0
GSTP1	3.4007802	42.99124	0.0	0.0
TFRC	3.814591	42.939182	0.0	0.0
LYZ	4.4269066	42.900322	0.0	0.0
HM13	3.3896468	42.747498	0.0	0.0
NINJ1	3.4656909	42.66433	0.0	0.0
RPL31	3.5025585	42.654724	0.0	0.0
ATP6V1G1	3.3807583	42.64111	0.0	0.0
ATP5PO	3.3974526	42.56459	0.0	0.0
CD59	3.5974944	42.546757	0.0	0.0
CD151	4.276919	42.51725	0.0	0.0
ATP5F1E	3.2640138	42.504417	0.0	0.0
EIF5A	3.3759334	42.441776	0.0	0.0
C5AR1	3.514325	42.412117	0.0	0.0
GNAS	3.3095407	42.37149	0.0	0.0
MAP3K8	3.6058562	42.348408	0.0	0.0
METRNL	4.680426	42.312447	0.0	0.0
RAB13	5.222024	42.28164	0.0	0.0
EIF3K	3.4488006	42.276714	0.0	0.0
HLA-DMB	3.47202	42.26827	0.0	0.0
BSG	3.3092332	42.26101	0.0	0.0
TMEM176B	3.4897683	42.235928	0.0	0.0
EIF3G	3.3767588	42.23261	0.0	0.0
DSE	3.8583739	42.159103	0.0	0.0
LRP1	3.4079673	42.153404	0.0	0.0
CXCR4	3.5707514	42.11646	0.0	0.0
LGALS9	3.4882889	42.102123	0.0	0.0
KLF2	3.6919158	42.10108	0.0	0.0
SOCS3	3.612402	42.073666	0.0	0.0
COMMD6	3.3962722	42.055107	0.0	0.0
EIF4A3	3.4072173	42.02452	0.0	0.0
SUMO2	3.443709	42.0085	0.0	0.0
PRDX5	3.2939885	41.982803	0.0	0.0
SEC11A	3.3804657	41.967087	0.0	0.0
SPI1	3.423862	41.951122	0.0	0.0
NDUFA13	3.449392	41.886368	0.0	0.0
LMAN2	3.3573785	41.852474	0.0	0.0
PDIA6	3.349838	41.832104	0.0	0.0
ATP5F1B	3.4317265	41.741974	0.0	0.0
MDH2	3.2822862	41.712795	0.0	0.0
CTSA	3.4864328	41.701996	0.0	0.0
PSMB9	3.7778447	41.62661	0.0	0.0
HLA-E	3.7842534	41.609917	0.0	0.0
MT-CO2	1.9696265	41.578873	0.0	0.0
ASAH1	3.3709047	41.45428	0.0	0.0
NOP53	3.2811363	41.384	0.0	0.0
IER5L	3.685253	41.308426	0.0	0.0
MZT2B	3.29216	41.20425	0.0	0.0
LAMTOR2	3.4921186	41.19237	0.0	0.0
UBE2L6	3.8815105	41.083305	0.0	0.0
PYCARD	3.3824549	41.06315	0.0	0.0
RPL13A	2.737363	41.05506	0.0	0.0
ARHGAP18	4.502336	41.04671	0.0	0.0
UQCRB	3.390948	41.03041	0.0	0.0
LSP1	4.12913	41.018604	0.0	0.0
CD69	3.4579268	40.981853	0.0	0.0
PPP1CA	3.2366526	40.96168	0.0	0.0
EEF2	2.9172294	40.937317	0.0	0.0
NFIL3	3.683067	40.93603	0.0	0.0
STAB1	3.5490983	40.818043	0.0	0.0
TWF2	3.472728	40.699997	0.0	0.0
ATP5F1A	3.2035937	40.685726	0.0	0.0
NFKB1	3.467093	40.64076	0.0	0.0
LRRFIP1	3.2295487	40.630394	0.0	0.0
RPN2	3.2459357	40.541306	0.0	0.0
PTGER4	4.0364995	40.486996	0.0	0.0
H2AFY	3.2628338	40.450302	0.0	0.0
