edge	mean_te	std_te	ci_lower	ci_upper	significant
MYL6->CD69	0.000000	0.000000	0.000000	0.000000	False
MYL6->SMAP2	0.000000	0.000000	0.000000	0.000000	False
MYL6->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
MYL6->SLC25A37	0.000689	0.000594	0.000009	0.002288	True
MYL6->ATP5F1E	0.001263	0.001422	0.000000	0.004544	False
MYL6->SOD2	0.000000	0.000000	0.000000	0.000000	False
MYL6->TXNIP	0.000037	0.000210	0.000000	0.000186	False
MYL6->H3F3A	0.000000	0.000000	0.000000	0.000000	False
MYL6->S100A9	0.000000	0.000000	0.000000	0.000000	False
MYL6->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
TXNIP->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
TXNIP->CCL3L1	0.001900	0.001265	0.000149	0.004191	True
TXNIP->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
TXNIP->IFITM2	0.000741	0.000933	0.000000	0.002766	False
TXNIP->CXCL8	0.000323	0.000431	0.000000	0.001429	False
TXNIP->S100A11	0.004058	0.002623	0.000205	0.009616	True
TXNIP->CST3	0.000000	0.000000	0.000000	0.000000	False
TXNIP->FCER1G	0.000745	0.001461	0.000000	0.004778	False
TXNIP->S100A8	0.000031	0.000174	0.000000	0.000166	False
TXNIP->CD69	0.000000	0.000000	0.000000	0.000000	False
TXNIP->SMAP2	0.000000	0.000000	0.000000	0.000000	False
TXNIP->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
TXNIP->SLC25A37	0.001248	0.000769	0.000090	0.002713	True
TXNIP->ATP5F1E	0.001148	0.001419	0.000000	0.004584	False
TXNIP->SOD2	0.000000	0.000000	0.000000	0.000000	False
TXNIP->MYL6	0.000935	0.001565	0.000000	0.005361	False
TXNIP->H3F3A	0.000000	0.000000	0.000000	0.000000	False
TXNIP->S100A9	0.000000	0.000000	0.000000	0.000000	False
TXNIP->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
H3F3A->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
H3F3A->CCL3L1	0.000682	0.000710	0.000005	0.002539	True
H3F3A->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
H3F3A->IFITM2	0.000446	0.000832	0.000000	0.002875	False
H3F3A->CXCL8	0.000110	0.000343	0.000000	0.001069	False
H3F3A->S100A11	0.004499	0.002852	0.000552	0.011194	True
H3F3A->CST3	0.000000	0.000000	0.000000	0.000000	False
H3F3A->FCER1G	0.000533	0.001235	0.000000	0.004094	False
H3F3A->S100A8	0.000000	0.000000	0.000000	0.000000	False
H3F3A->CD69	0.000000	0.000000	0.000000	0.000000	False
H3F3A->SMAP2	0.000000	0.000000	0.000000	0.000000	False
H3F3A->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
H3F3A->SLC25A37	0.000470	0.000458	0.000000	0.001759	False
H3F3A->ATP5F1E	0.001113	0.001506	0.000000	0.005200	False
H3F3A->SOD2	0.000000	0.000000	0.000000	0.000000	False
H3F3A->MYL6	0.000615	0.001335	0.000000	0.003942	False
H3F3A->TXNIP	0.000022	0.000153	0.000000	0.000000	False
H3F3A->S100A9	0.000000	0.000000	0.000000	0.000000	False
H3F3A->ARHGDIB	0.000094	0.000444	0.000000	0.001011	False
S100A9->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
S100A9->CCL3L1	0.000595	0.000688	0.000000	0.002709	False
S100A9->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
S100A9->IFITM2	0.000023	0.000104	0.000000	0.000412	False
S100A9->CXCL8	0.000000	0.000000	0.000000	0.000000	False
S100A9->S100A11	0.003484	0.002512	0.000000	0.008976	False
S100A9->CST3	0.000000	0.000000	0.000000	0.000000	False
S100A9->FCER1G	0.000356	0.000927	0.000000	0.003058	False
S100A9->S100A8	0.000000	0.000000	0.000000	0.000000	False
S100A9->CD69	0.000000	0.000000	0.000000	0.000000	False
S100A9->SMAP2	0.000000	0.000000	0.000000	0.000000	False
S100A9->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
S100A9->SLC25A37	0.000380	0.000469	0.000000	0.001568	False
S100A9->ATP5F1E	0.002511	0.004116	0.000000	0.014707	False
S100A9->SOD2	0.000000	0.000000	0.000000	0.000000	False
S100A9->MYL6	0.000195	0.000854	0.000000	0.002370	False
S100A9->TXNIP	0.000000	0.000000	0.000000	0.000000	False
S100A9->H3F3A	0.000000	0.000000	0.000000	0.000000	False
S100A9->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->CCL3L1	0.000867	0.000775	0.000007	0.003017	True
ARHGDIB->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->IFITM2	0.000616	0.000860	0.000000	0.002787	False
ARHGDIB->CXCL8	0.000451	0.000695	0.000000	0.002620	False
ARHGDIB->S100A11	0.004166	0.002584	0.000320	0.009867	True
ARHGDIB->CST3	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->FCER1G	0.000841	0.001565	0.000000	0.005339	False
ARHGDIB->S100A8	0.000056	0.000189	0.000000	0.000638	False
ARHGDIB->CD69	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->SMAP2	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->SLC25A37	0.001151	0.000976	0.000000	0.003198	False
ARHGDIB->ATP5F1E	0.001073	0.001334	0.000000	0.004110	False
ARHGDIB->SOD2	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->MYL6	0.000755	0.001420	0.000000	0.004950	False
ARHGDIB->TXNIP	0.000005	0.000034	0.000000	0.000000	False
ARHGDIB->H3F3A	0.000000	0.000000	0.000000	0.000000	False
ARHGDIB->S100A9	0.000000	0.000000	0.000000	0.000000	False
