gene	importance
AL117350.1	0.000928779489307824
RIOK3	0.0009267032364051902
RPS6KA1	0.0009265238715933325
IFITM1	0.0009263808507507586
AC006205.2	0.0009215279750685787
SP110	0.0009202221011030206
ERF	0.0009197731866520425
PRELID1	0.0009189490779254538
NABP1	0.0009176469944185788
MGRN1	0.0009169678844111719
STXBP2	0.0009160539796282646
PPP1CB	0.0009135400285463285
HMGB2	0.0009084737457006855
SLU7	0.0009054564803227695
RALBP1	0.0009050985561828786
PTBP3	0.0009005248928716897
CIR1	0.0008992330031535155
PRELP	0.0008954696818673783
METRNL	0.0008929222896915778
CYTH4	0.0008925376844984239
CCL2	0.0008890036393180069
MCTP2	0.0008866772359113789
USP10	0.0008835685504575555
OAZ2	0.0008831415123193547
MLX	0.0008730601365216737
MAP3K3	0.0008722963711834984
CPSF6	0.0008712954189583857
NUP58	0.000867411571673822
MARCH8	0.0008671747175088275
MARK2	0.0008560137496731069
NCF4	0.0008515704135224445
SERTAD3	0.000851320259551933
AREG	0.000849445666655672
AL499604.1	0.0008417240387851208
STK10	0.0008403115041502704
SLC25A11	0.0008367194782142598
RNF34	0.0008365159164130701
NFIL3	0.0008362463445289331
ADNP	0.0008358951868901534
RERG	0.0008336160767674443
AC010240.3	0.000831755536912591
ALAS2	0.0008309703407446348
FBRS	0.0008308980702285971
PIM3	0.0008297397878511368
MMP25	0.0008269793526964272
PGD	0.0008268279673006036
EMB	0.0008261291771002567
XIAP	0.0008242763889545209
OSBPL11	0.0008232576905127582
ABTB1	0.0008222683660883346
MINDY1	0.0008209527354951924
MAX	0.0008206432288166513
KDM2A	0.0008199068096541675
CCPG1	0.0008180971962489577
AC009019.1	0.0008177999726503482
TCP11L2	0.000816982144638295
SERPINB2	0.0008131143358396662
SYF2	0.0008115721964447014
ANKRD13A	0.0008115498688997467
PTPN12	0.0008105668107245134
GRAMD1A	0.0008065851961453036
AC055854.1	0.0008042443396329782
ACSL4	0.000803685958025079
LY96	0.0008030837568894216
MBD6	0.0008019917442808786
HPSE	0.0008018611320139009
VPS37B	0.0008015103252196559
AL021396.1	0.0008006513870991935
VOPP1	0.0007993267293495236
SF3A1	0.0007990881502810366
ARHGAP30	0.0007986128559698637
SERPINA3	0.0007982561709150583
GAP43	0.0007939893580701517
TCIRG1	0.0007933705727432398
POU2F1	0.0007929573960954021
WASHC5	0.0007926636680243303
PDCD10	0.0007917978473834475
PTGS2	0.0007913146720702093
SH3BP1	0.0007884681423017231
XPO6	0.0007880072135556426
ROMO1	0.000787505349066901
SMS	0.0007832203239318887
SP3	0.00078181395797243
FAM53C	0.0007807490155012088
PROK2	0.0007782619684058126
P2RX1	0.0007747925135827082
LRP10	0.0007741787698230154
TMX4	0.0007731771717789335
GNA11	0.0007715781262366289
RBMS1	0.0007715274811124544
IRF1	0.0007651576826245111
MSL3	0.0007642255932637218
STMP1	0.0007607995215154413
ITPRIP	0.0007607297286428146
ZFAND6	0.0007601951116092699
MAP3K5	0.0007601748063855322
PRKCB	0.0007598567659894486
CASC3	0.0007593688836159374
ASPRV1	0.0007592465020981091
PPP3CA	0.0007574363049062225
C16orf72	0.0007566928693564307
GSK3B	0.000755161711273932
MMRN2	0.0007546156107602903
CDK4	0.0007519550705783788
ARHGAP44	0.0007515887139627646
VASP	0.0007495387194881634
MEG3	0.0007453129887550205
DGUOK	0.0007443172213902182
SPOPL	0.0007441198920924986
TRAV21	0.0007437867221424955
NUP98	0.0007433347037684369
CHMP3	0.0007427887507399151
MAPKAPK2	0.0007413657888581837
AL442003.1	0.0007409615716724288
SNRK	0.0007407121304934751
AC103810.2	0.0007405548855699723
SHOC2	0.0007393379291602471
NRBF2	0.0007379946909034624
DECR1	0.0007364704870957464
SNX10	0.0007315843579294286
AKAP8L	0.0007308131764473158
ARHGAP9	0.0007307340140344257
DOCK11	0.0007290045044137012
KATNBL1	0.0007280026687186107
GK	0.00072637100960607
LRRK2	0.0007254971916878281
EGFR	0.0007246517117298819
TLE3	0.0007241397350817212
USP3	0.0007236625260401662
STXBP5	0.000723574307698526
JARID2	0.0007234256736484929
FLOT2	0.0007222526902542116
RAB1B	0.0007220149326564281
RUNX2	0.0007206384665006172
RSBN1	0.0007148449253434739
TREM1	0.0007148360717724519
RNF144B	0.0007147846480755166
CCNDBP1	0.0007146661431418586
PPP2R5A	0.000714318826180992
TXNDC12	0.0007084432997899481
ATP1B2	0.0007067575426026709
GMIP	0.0007060189571383444
NFE2	0.0007044259493147572
C5orf58	0.0007027947106269125
FRAT1	0.0007015330554367694
CLDN5	0.0007004368624769068
CSGALNACT2	0.0007003281188672918
LILRA2	0.0006991348521989754
RAC2	0.0006980655902809336
IGF2R	0.0006975089698382642
CYTIP	0.000695253552452445
MTMR14	0.0006948791406431328
ZC3HAV1	0.0006924657637123441
FLNA	0.0006910812244139776
ERGIC1	0.0006893381264243294
EGLN2	0.0006875043608637825
CXCL2	0.0006865361478156762
IGFBP7	0.0006832706562895926
DHTKD1	0.0006830108205616799
PDGFRA	0.0006818324977372508
UBE2G1	0.0006805956860708412
PYGL	0.0006802231561992873
SLC9A3R1	0.0006798167157312606
HACD4	0.0006782693401617116
RNF145	0.0006776195551209505
MAP2K3	0.0006771691628486119
PACSIN2	0.00067673915359752
TP53I11	0.0006765875123894863
TRAPPC3	0.0006753028936951788
MVP	0.0006751702992483078
FCAR	0.0006743805675986968
AC020911.2	0.0006742329190343722
ISG15	0.0006694329636603344
RIPOR2	0.0006672033797114235
EHBP1L1	0.0006670791143766656
CPE	0.0006657096043937022
GALNT7	0.0006653136122530302
UBE2D1	0.0006635807192307985
TBC1D1	0.0006617292773079267
AP000786.1	0.0006579581325412123
ADGRE2	0.00065694993523289
AHCTF1	0.0006567827341830575
ZNFX1	0.0006561816821636817
IGFL2	0.0006558651968126997
MT1X	0.0006528105897580011
OSER1	0.000652228327746399
AGO4	0.0006516934063004413
N4BP1	0.0006516241434610648
AC009950.1	0.0006505614489383247
ARHGEF40	0.0006493349321540806
MRPL55	0.0006491242754232122
RNPEP	0.0006468573405001151
RABGEF1	0.0006466800417778754
PACS1	0.0006466503506734798
AGTRAP	0.0006460340057156909
AC087501.4	0.0006448877178167013
RALGAPA2	0.0006415334145302156
PAGR1	0.0006402743821940188
SLC35F5	0.0006389006227359385
ISG20	0.0006374892878270717
KMT2E-AS1	0.0006368226659940885
GBP1	0.0006364251236028056
POLR3GL	0.0006356963522380066
LINC00877	0.0006344084562545758
LRCH4	0.0006326721463696888
EIF4EBP2	0.0006298628021180096
ATP1A2	0.0006292663422575992
TNIP1	0.0006285890713558646
IQGAP2	0.0006277326976056531
DAP	0.0006274384967996168
DUSP23	0.0006260248144175413
OSM	0.0006254458920546714
ABHD5	0.0006237743847580936
CHST15	0.0006225806114643228
TSR3	0.000621620809187884
NRBP1	0.0006214044027669308
IL10RB	0.0006212795977054066
IFIT2	0.0006207260955196662
HAUS4	0.0006152566805123634
GLIPR2	0.0006147161424744639
PPP1R11	0.0006127533973778229
PAK1	0.000611526488049028
VCAN	0.0006113452522329143
MOB3A	0.000610694264567653
WWP2	0.0006100859809989263
CYB5R4	0.000609912770530503
C19orf33	0.0006088505778114337
HTATIP2	0.0006079456508071132
SP1	0.0006078165611465406
UBN1	0.0006069119436305056
TESC	0.0006049918969012299
RETREG2	0.0006046408188915752
NUDT4	0.0006045632085873019
CDK5RAP2	0.0006033106080400823
SAP25	0.0006032169697999511
HIST1H2BK	0.0006029307059116883
RELB	0.0006014303723332934
PITPNA	0.0006012612637308118
NIBAN1	0.0006012146811743952
HPCAL1	0.0006008429929090279
EIF4EBP1	0.0006003234404610367
NBPF26	0.0006002285522810404
CCR1	0.0005998580058222687
UBLCP1	0.0005993580530787109
LSM10	0.0005982653023180754
TMOD3	0.000596582505316272
NRN1	0.0005953680848054726
YKT6	0.0005953436929167142
MRFAP1L1	0.0005950176347263964
NRCAM	0.0005949177365431354
PECAM1	0.0005937951787725615
SHKBP1	0.0005931388789832007
R3HDM4	0.0005929908000840917
ABHD2	0.0005928374339909562
NCF2	0.0005924967595720095
ORMDL2	0.0005916459197751856
SIPA1L1	0.0005914358289189742
IL4R	0.000590185987376147
MXD1	0.0005891910002585097
