gene	log2FC	score	pvalue	pvalue_adj	comparison
RPS5	4.2833967	67.61821	0.0	0.0	Core_vs_Healthy
PFN1	4.1820626	67.23957	0.0	0.0	Core_vs_Healthy
PLTP	6.5232434	67.23703	0.0	0.0	Core_vs_Healthy
RPS23	3.4064693	67.17772	0.0	0.0	Core_vs_Healthy
MAFB	5.5379395	66.94696	0.0	0.0	Core_vs_Healthy
PFDN5	4.717841	66.941574	0.0	0.0	Core_vs_Healthy
MT-ATP8	4.8212814	66.848366	0.0	0.0	Core_vs_Healthy
MS4A6A	6.026319	66.59384	0.0	0.0	Core_vs_Healthy
ZYX	5.2193055	65.876884	0.0	0.0	Core_vs_Healthy
HLA-DPB1	4.9810796	65.80141	0.0	0.0	Core_vs_Healthy
RPS28	3.8604329	65.604225	0.0	0.0	Core_vs_Healthy
RPS14	3.148175	65.50406	0.0	0.0	Core_vs_Healthy
EEF1G	4.79875	65.4026	0.0	0.0	Core_vs_Healthy
S100A11	5.0811872	65.24877	0.0	0.0	Core_vs_Healthy
C1QA	4.889605	65.24216	0.0	0.0	Core_vs_Healthy
CD14	5.358541	64.590744	0.0	0.0	Core_vs_Healthy
RPL15	3.1644633	64.45967	0.0	0.0	Core_vs_Healthy
C1QC	4.767013	64.300026	0.0	0.0	Core_vs_Healthy
TIMP1	6.055512	64.20983	0.0	0.0	Core_vs_Healthy
PTMS	6.022703	64.05811	0.0	0.0	Core_vs_Healthy
CD163	6.7673364	64.03025	0.0	0.0	Core_vs_Healthy
CLIC1	5.123419	63.912304	0.0	0.0	Core_vs_Healthy
C1QB	4.8250623	63.80033	0.0	0.0	Core_vs_Healthy
RPS15A	3.7524955	63.666416	0.0	0.0	Core_vs_Healthy
ANXA2	7.214929	63.02697	0.0	0.0	Core_vs_Healthy
ATP6V1F	4.7679	62.43435	0.0	0.0	Core_vs_Healthy
RPS9	3.1495373	62.404537	0.0	0.0	Core_vs_Healthy
SH3BGRL3	4.5183244	62.2679	0.0	0.0	Core_vs_Healthy
