class	rank	gene	mean_attention
Periphery	65	GEM	0.0033117469865828753
Periphery	66	PSMB3	0.003297686344012618
Periphery	67	DOCK11	0.0032580711413174868
Periphery	68	HIST1H2BC	0.00324556534178555
Periphery	69	NTAN1	0.003235019277781248
Periphery	70	MVP	0.003224104642868042
Periphery	71	PLPPR2	0.003222157945856452
Periphery	72	PLAUR	0.003216902492567897
Periphery	73	MAPK14	0.0032059536315500736
Periphery	74	TMEM131L	0.0031686960719525814
Periphery	75	CLEC4E	0.00316203897818923
Periphery	76	IL2RG	0.003137102583423257
Periphery	77	MMRN2	0.003132669720798731
Periphery	78	LILRA1	0.0030788739677518606
Periphery	79	PGD	0.00307484227232635
Periphery	80	AC007032.1	0.0030543068423867226
Periphery	81	VNN2	0.003050449537113309
Periphery	82	HSPA6	0.0030496399849653244
Periphery	83	GAPT	0.003024842357262969
Periphery	84	HPSE	0.0030071581713855267
Periphery	85	SLC25A11	0.0030060273129493
Periphery	86	HIST1H2BK	0.0029952791519463062
Periphery	87	TBC1D1	0.0029129069298505783
Periphery	88	RXRA	0.002884316723793745
Periphery	89	STX11	0.0028670986648648977
Periphery	90	KRT1	0.0028419101145118475
Periphery	91	FADS2	0.0028318637050688267
Periphery	92	ANXA3	0.002814776496961713
Periphery	93	FKBP1A	0.0027827091980725527
Periphery	94	SMIM3	0.0027627404779195786
Periphery	95	METRNL	0.0027582517359405756
Periphery	96	IFIT1	0.002748133148998022
Periphery	97	ADGRE5	0.0027339698281139135
Periphery	98	MT2A	0.002728099003434181
Periphery	99	MSL3	0.0026630149222910404
Periphery	100	DSC2	0.0026564528234302998
Healthy	1	GFAP	0.016232764348387718
Healthy	2	CLU	0.015023568645119667
Healthy	3	CD163	0.014383578673005104
Healthy	4	MTRNR2L12	0.01356576569378376
Healthy	5	CLEC2B	0.01013937871903181
Healthy	6	SERPINA3	0.010079268366098404
Healthy	7	PTPRZ1	0.009888372384011745
Healthy	8	FCGR3B	0.008960645645856857
Healthy	9	FCGBP	0.00888933427631855
Healthy	10	HSPA1B	0.00831923820078373
Healthy	11	AL034397.3	0.0082365982234478
Healthy	12	IFI6	0.007766990456730127
Healthy	13	GNLY	0.007744831033051014
Healthy	14	IL1RN	0.007447382435202599
Healthy	15	SAMD4B	0.006619149819016457
Healthy	16	FOLR3	0.006502456031739712
Healthy	17	AC011446.2	0.00624940637499094
Healthy	18	AC004817.3	0.0061165327206254005
Healthy	19	HSPA1A	0.006032539997249842
Healthy	20	IGFBP5	0.006026172079145908
Healthy	21	LSP1	0.006025706883519888
Healthy	22	PSMB9	0.005862658377736807
